country	valence	median	lower	upper	sig	up
esp	-2	1.5882352941176467	0.6940024479804162	3.891566265060241	False	True
esp	-1	2.3468013468013473	1.2539682539682542	4.826530612244898	True	True
esp	0	0.8422090729783036	0.4873547505126452	1.5102040816326527	False	False
esp	1	0.42455242966751916	0.1725768321513002	1.0	False	False
esp	2	0.3055555555555557	0.06759906759906761	0.7916666666666667	True	False
fr	-2	2.7123287671232883	1.2205882352941175	7.1538461538461515	True	True
fr	-1	2.488095238095238	1.2980625931445602	5.258241758241757	True	True
fr	0	0.5925925925925926	0.32035835650293487	1.0919117647058822	False	False
fr	1	0.3208828522920205	0.11265432098765434	0.7295469912102771	True	False
fr	2	0.2783505154639174	0.07407407407407407	0.8655913978494625	True	False
irl	-2	1.2747252747252749	0.5833333333333334	2.8518518518518516	False	True
irl	-1	2.200564971751412	1.1236858379715524	4.278688524590164	True	True
irl	0	1.0	0.5213675213675213	1.8004574042309889	False	False
irl	1	0.351771823681936	0.13194444444444453	0.7948016415868672	True	False
irl	2	0.33712121212121227	0.0817263544536272	1.0	False	False
pl	-2	0.8316498316498315	0.4320486815415821	1.612244897959184	False	False
pl	-1	2.545893719806763	1.3674219228413964	5.393939393939395	True	True
pl	0	0.8319327731092436	0.4424882629107982	1.5325443786982247	False	False
pl	1	0.5192307692307692	0.18367346938775508	1.277777777777778	False	False
pl	2	0.48453608247422675	0.13419913419913418	2.08695652173913	False	False
uk	-2	1.3333333333333333	0.7037037037037037	2.7910447761194033	False	True
uk	-1	2.9191919191919196	1.575447570332481	6.103668261562998	True	True
uk	0	0.717969379532635	0.3523697380041212	1.3072196620583718	False	False
uk	1	0.37070938215102983	0.11634756995581737	0.8655913978494625	True	False
uk	2	0.27113702623906705	0.062049062049062076	1.263157894736842	False	False
us	-2	1.5417956656346745	0.661876584953508	3.37037037037037	False	True
us	-1	2.1538461538461537	1.1236858379715524	4.1034482758620685	True	True
us	0	0.834368530020704	0.45652173913043487	1.4918032786885247	False	False
us	1	0.42163100057836905	0.1762013729977117	0.9063670411985019	True	False
us	2	0.3556701030927834	0.0909090909090909	1.1792114695340505	False	False
overall	-2	1.4634047205493446	1.0599549060751086	2.014952701110861	True	True
overall	-1	2.435600205372021	1.8732767872458935	3.239403757855394	True	True
overall	0	0.7903277008077002	0.6146834621277177	1.0265915626128503	False	False
overall	1	0.3909603731750931	0.26550650175868634	0.5537403822556414	True	False
overall	2	0.3192668162084717	0.18879795792300424	0.5525712870166054	True	False
