country	event	median	lower	upper	sig	up
esp	-1	1.5652911249293386	1.0	2.7921146953405023	False	True
esp	0	0.8451413085559426	0.5679012345679013	1.496031746031746	False	False
esp	1	0.5819397993311037	0.27536231884057977	1.1809954751131222	False	False
fr	-1	1.9578544061302678	1.0483091787439613	3.6831785345717223	True	True
fr	0	0.6875000000000001	0.48051948051948057	1.2258355916892498	False	False
fr	1	0.5341614906832299	0.29824561403508776	1.1123595505617974	False	False
irl	-1	1.3846153846153844	0.8386446147640179	2.3736263736263727	False	True
irl	0	0.851190476190476	0.4829072105716748	1.325581395348837	False	False
irl	1	0.63768115942029	0.27631578947368424	1.249687890137328	False	False
pl	-1	0.9586435070306037	0.6082621082621084	1.5652911249293386	False	False
pl	0	1.0411522633744856	0.6666666666666667	1.72142064372919	False	True
pl	1	0.8792270531400966	0.5321637426900586	1.9852216748768468	False	False
uk	-1	1.7488479262672811	1.1420454545454544	3.216538789428815	True	True
uk	0	0.7248022015823873	0.39185616076150187	1.0838574423480083	False	False
uk	1	0.5192307692307692	0.1651205936920223	1.5108556832694764	False	False
us	-1	1.4166666666666667	0.6470588235294117	2.124338624338624	False	True
us	0	0.8500749625187408	0.5421245421245421	1.5060728744939271	False	False
us	1	0.7592295345104333	0.3674889310562935	1.6459948320413436	False	False
overall	-1	1.4855391658851063	1.096014247463387	1.9050257287512784	True	True
overall	0	0.8318796815916568	0.6562156601264226	1.0844062410477373	False	False
overall	1	0.6357520921556352	0.5013683928529804	0.9574596651046274	True	False
