country	sentiment	median	lower	upper	sig	up
esp	-1	2.826923076923076	1.575447570332481	6.142857142857143	True	True
esp	0	0.923076923076923	0.4829072105716748	1.4977600796416126	False	False
esp	1	0.27203065134099624	0.1614906832298137	0.5537706381079875	True	False
fr	-1	5.258241758241757	3.0202020202020208	8.999999999999998	True	True
fr	0	0.580915538362347	0.35995903737839224	0.9586435070306037	True	False
fr	1	0.21422663358147231	0.08802537668517048	0.40400170285227754	True	False
irl	-1	2.9625334522747546	1.612244897959184	4.461538461538463	True	True
irl	0	0.81371087928465	0.5854591836734694	1.3787878787878791	False	False
irl	1	0.37078651685393255	0.23076923076923078	0.742798353909465	True	False
pl	-1	1.9329446064139943	1.0423728813559319	3.5454545454545454	True	True
pl	0	0.7857142857142856	0.5404411764705882	1.5027652086475614	False	False
pl	1	0.42455242966751916	0.13194444444444453	1.095785440613027	False	False
uk	-1	2.5976761074800288	1.5325443786982247	4.295454545454545	True	True
uk	0	0.6684350132625995	0.4815668202764976	1.4373177842565596	False	False
uk	1	0.39393939393939403	0.1666666666666667	0.9224806201550387	True	False
us	-1	3.298850574712644	1.401836969001148	6.4298642533936645	True	True
us	0	0.7863247863247863	0.5029239766081872	1.27359781121751	False	False
us	1	0.2831541218637994	0.14230019493177387	0.5907928388746804	True	False
overall	-1	2.966099889014334	2.253236439467784	3.915762763174151	True	True
overall	0	0.7469120976708628	0.6324751044114699	0.979546761608876	True	False
overall	1	0.3213907825359889	0.20877259173202775	0.422682130615005	True	False
